Any,Categoria,Peli,Nominat,Guanyador,CategoriaNet,NominatNom,Sexe
2009,Best Animated Feature (Millor Pel·lícula d'Animació),Rovelló: Un Nadal sense Noel,Antoni D'Ocon,TRUE,Millor Pel·lícula d'Animació,Antoni,Home
2009,Best Animated Feature (Millor Pel·lícula d'Animació),Rovelló: Un Nadal sense Noel,Ramón Herrero,TRUE,Millor Pel·lícula d'Animació,Ramon,Home
2009,Best Animated Feature (Millor Pel·lícula d'Animació),Donkey Xote,Jose Pozo,FALSE,Millor Pel·lícula d'Animació,Jose,Home
2009,Best Animated Feature (Millor Pel·lícula d'Animació),Donkey Xote,Angel E. Pariente,FALSE,Millor Pel·lícula d'Animació,Angel,Home
2009,Best Art Direction (Millor Direcció Artística),Transsiberian,Alain Bainée,TRUE,Millor Direcció Artística,Alain,Home
2009,Best Art Direction (Millor Direcció Artística),Bienvenido a Farewell-Gutmann,Leo Casamitjana,FALSE,Millor Direcció Artística,Leo,Home
2009,Best Art Direction (Millor Direcció Artística),El Greco,Oriol Puig,FALSE,Millor Direcció Artística,Oriol,Home
2010,Best Non-Catalan Language Film (Millor Pel·lícula en Llengua no Catalana),Negro Buenos Aires,Adi Cohen,FALSE,Millor Pel·lícula en llengua no catalana,Adi,Home
2009,Best Cinematography (Millor Fotografía),El cant dels ocells,Neus Ollé,TRUE,Millor Fotografia,Neus,Dona
2012,Best Film in Catalan Language (Millor Pel·lícula en Llengua Catalana),Eva,Aintza Serra,TRUE,Millor Pel·lícula,Aintza,Dona
2009,Best Cinematography (Millor Fotografía),Bienvenido a Farewell-Gutmann,Ángel Luis Fernández,FALSE,Millor Fotografia,Angel,Home
2009,Best Cinematography (Millor Fotografía),Transsiberian,Xavi Giménez,FALSE,Millor Fotografia,Xavi,Home
2009,Best Cinematography (Millor Fotografía),Vicky Cristina Barcelona,Javier Aguirresarobe,FALSE,Millor Fotografia,Javier,Home
2009,Best Documentary (Millor Pel·lícula Documental),"Bucarest, la memòria perduda",Albert Solé,TRUE,Millor Pel·lícula Documental,Albert,Home
2009,Best Documentary (Millor Pel·lícula Documental),Cinemacat.cat,Antoni Verdaguer,FALSE,Millor Pel·lícula Documental,Antoni,Home
2012,Best Screenplay (Millor Guió),Eva,Aintza Serra,FALSE,Millor Guió,Aintza,Dona
2009,Best Documentary (Millor Pel·lícula Documental),La zona de Tarkovsky,Manuel Neira,FALSE,Millor Pel·lícula Documental,Manuel,Home
2009,Best Documentary (Millor Pel·lícula Documental),Nedar,Carla Subirana,FALSE,Millor Pel·lícula Documental,Carla,Dona
2009,Best Documentary (Millor Pel·lícula Documental),Nedar,Núria Villazán,FALSE,Millor Pel·lícula Documental,Nuria,Dona
2009,Best European Film (Millor Pel·lícula Europea),Camino,Javier Fesser,TRUE,Millor Pel·lícula Europea,Javier,Home
2013,Best European Film (Millor Pel·lícula Europea),El Havre,Aki Kaurismäki,FALSE,Millor Pel·lícula Europea,Aki,Home
2012,Best Lead Actor (Millor Actor Protagonista),Open 24h,Amadís de Murga,FALSE,Millor Protagonista Masculí,Amadis,Home
2009,Best European Film (Millor Pel·lícula Europea),La duquesa de Langeais,Christine Laurent,FALSE,Millor Pel·lícula Europea,Christine,Dona
2017,Best Makeup and Hairstyles (Millor Maquillatge i Perruqueria),La mort de Louis XIV,Antoine Mancini,TRUE,Millor Maquillatge i Perruqueria,Antoine,Home
2009,Best European Film (Millor Pel·lícula Europea),Retorno a Brideshead,Julian Jarrold,FALSE,Millor Pel·lícula Europea,Julian,Home
2009,Best European Film (Millor Pel·lícula Europea),Retorno a Brideshead,Jeremy Brock,FALSE,Millor Pel·lícula Europea,Jeremy,Home
2009,Best European Film (Millor Pel·lícula Europea),Retorno a Brideshead,Andrew Davies,FALSE,Millor Pel·lícula Europea,Andrew,Home
2009,Best Film Editing (Millor Muntatge),Transsiberian,Jaume Martí,TRUE,Millor Muntatge,Jaume,Home
2009,Best Film Editing (Millor Muntatge),Bienvenido a Farewell-Gutmann,Jordi Suárez,FALSE,Millor Muntatge,Jordi,Home
2009,Best Film Editing (Millor Muntatge),Diario de una ninfómana,Luis de la Madrid,FALSE,Millor Muntatge,Luis,Home
2009,Best Film Editing (Millor Muntatge),Forasteros,Pere Abadal,FALSE,Millor Muntatge,Pere,Home
2009,Best Film in Catalan Language (Millor Pel·lícula en Llengua Catalana),El cant dels ocells,Albert Serra,TRUE,Millor Pel·lícula,Albert,Home
2009,Best Film in Catalan Language (Millor Pel·lícula en Llengua Catalana),Forasteros,Ventura Pons,FALSE,Millor Pel·lícula,Ventura,Home
2020,Best Makeup and Hairstyles (Millor Maquillatge i Perruqueria),Liberté,Antoine Mancini,FALSE,Millor Maquillatge i Perruqueria,Antoine,Home
2009,Best Film in Catalan Language (Millor Pel·lícula en Llengua Catalana),Myway,Ángeles Diemant-Hartz,FALSE,Millor Pel·lícula,Angeles,Dona
